,Text,Topic,Cluster
0,"Florist service. For as low as $1500, one can have a good business, as long as they can sell high-end flowers like roses. They would not be able to sell these flowers during winter as it would be too cold. Therefore they need a warm summer season to be competitive.",florist service,1.0
1,Funeral Care Business. One could offer all basic funeral services for as low as $13000. This business is not too profitable but the high start up costs make it a viable option.,funeral care business,1.0
2,"Floral Boutique. This is a good option if the store is located in a more affluent area with a good variety of products that can cater to a large number of people. These flowers are more perishable, so the profits would be smaller.",floral boutique,1.0
3,"Florist. One would have to pay a small salary upfront to rent the plant upfront and to hire the employees to make the plant, which would create a small inventory to pay the rent for the plant up front. This option is fairly profitable, considering that the product is easily sold, and the flowers look more beautiful after processing as well.",florist,1.0
4,"Floral Design Studio. This business costs less than $3000, but can be very profitable if the flowers are purchased from a reputable and authentic shop that specializes in wholesale flowers, rather than imports.",floral design studio,1.0
5,"Funeral Director. One could set up a funeral home for as low as $2000 all the way up to as much as $12000, depending on location and number of family members. This option is moderately profitable in most cases.",funeral director,1.0
6,"Auto Parts Depot. The prices of all automobile part businesses may fluctuate wildly, but the margins are fairly steady. Therefore we could start an auto parts business that has low profits in terms of profits per dollar and still be profitable. This business will need a truck to transport items, and some overhead like advertising.",auto parts depot,2.0
7,"Auto Shop. One could purchase an auto shop, and start it up for as low as $4000. Because it is not necessarily cash generating, it is not likely to be feasible and the monthly payments would probably be excessive.",auto shop,2.0
8,Auto insurance Business. This business can start out with no money and have it going by the end of the summer. These are more profitable during winter months.,auto insurance business,2.0
9,"Car Shops. One could get all the needed vehicles as low as $6000, but will need to hire help for start up, and this will require a substantial amount of money to start up, as one must hire employees and purchase stock. With a little knowledge, it should not be too hard to find some help. After starting the business, they can hire more employees.",car shops,2.0
10,Auto Insurance. This type of business could take up the most space for a low budget of $30000 up to $15000,auto insurance,2.0
11,"Car Repair shop. One could purchase a very profitable car repair business for as low as $6000. Again, profit depends on location and competition.",car repair shop,2.0
12,Auto Wrecker. One could buy car wreckers and start working for them as a general handyman. This too is not all that profitable. The car wrecker business would have to cater to a certain market.,auto wrecker,2.0
13,"Car Detailing. One could get all the necessary equipment and get an idea of costs once the business is going strong, and also get a great idea of the profit margins for a car detailing business. This is a very profitable business for someone in need for start up money",car detailing,2.0
14,"Auto repairs. For about $28000 to start a business of fixing up cars, one could open shop. At this point, it is better to open a car dealership, but to have the income and work less would be beneficial.",auto repairs,2.0
15,"Auto and truck repair. This option has lower profits due to the high cost of required equipment and the long period of time that would take in order to repair the vehicles. One can purchase an auto repair shop, buy used cars, or build a new one with used parts. The profit margins for the above options would drop due to the amount that would be spent for making repairs, and for buying and making repairs. In order for this business to be profitable, the shop would likely need to be located",auto and truck repair,2.0
16,"Auto Mechanic shop. This is my last idea, as I know you guys would not like. But I am writing this because some of these businesses are not that profitable since they need much more machinery to run. One can purchase as a small car repair shop, for example for as low as $10,000 and take it up to $15,000 to start it up. This is the most profitable.",auto mechanic shop,2.0
17,"Car Dealer. The best car business. This can be a profitable business, but need the most money, as the sales person will be paid $300 a day. A better car business could be found for as low as $1000.",car dealer,2.0
18,Auto Repair Services. One may also get an auto repair shop and the start up costs would be lower.,auto repair services,2.0
19,"Computer Repair business. This business can also be small-time or medium-time, but these are the only options that are feasible. An entrepreneur could operate this business with small investments and make millions of dollars.",computer repair business,2.0
20,"Small Auto Repair Shop. One could get a small auto shop for as low as $1800, taking the total to $4200. This is a profitable as well as affordable option.",small auto repair shop,2.0
21,"Airplane repairing. One can easily get the required parts for less than $1,250 to start his business.",airplane repairing,2.0
22,"Bakery. This idea is fairly good. The bakery can be established as a business for very little money, but with very low profit margins.",bakery,3.0
23,"Baking Soda Products. For as low as $7500 to start up, one could open a business that uses baking soda for products such as toothpaste, mouthwash, hand lotion, etc. These will not be highly profitable, but will likely do fine starting a small business, and they cost far less to start up than selling ice creams, furniture, or doing repair work.",baking soda products,3.0
24,"Food manufacturing. This option would be profitable, but requires the manufacturing to be located in a high paying city rather than a lower paying city, which makes it not feasible.",food manufacturing,3.0
25,"Small Baking Company. One could purchase ingredients and bake their own bread and cookies for as low as $2000. This is also a moderate profit option, although demand depends on location.",small baking company,3.0
26,"Baked Goods Store. One can set up a small bakery on about $2000, buying the necessary equipment for start-ups. This option would be moderately profitable, just not too profitable for a start-up.",baked goods store,3.0
